year,month,2m_temperature,total_precipitation,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,surface_net_solar_radiation,surface_net_thermal_radiation,total_cloud_cover,2m_dewpoint_temperature,soil_temperature_level_3,volumetric_soil_water_layer_3,10m_u_component_of_wind,10m_v_component_of_wind,evaporation,surface_pressure,snowfall,location_country,location_name,location_latitude,location_longitude
2016,1,281.46826,0.0020141418,11174912.0,24809806.0,9776243.0,-5628697.0,0.47977024,275.948,284.9663,0.42860538,0.26369226,0.07124114,-0.001647548,101216.625,1.3197232e-05,USA,"Bossier City, Louisiana",32.42,-93.64
2016,2,285.48926,0.0028893894,14151807.0,25847148.0,12371439.0,-6124701.0,0.33863455,277.32666,285.60986,0.37489474,0.97391725,0.48091197,-0.0021815943,101198.06,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2016,3,289.91968,0.010076698,15864176.0,28977936.0,13770720.0,-5112673.0,0.47701216,283.78003,288.09497,0.40474236,-0.42060053,0.8515238,-0.0029088445,100748.5,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2016,4,292.61157,0.005567413,17358156.0,30824406.0,14822041.0,-4567678.0,0.5761272,286.73022,289.83984,0.4262843,-0.51357806,0.9772328,-0.0037100594,100791.31,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2016,5,295.45093,0.002651766,19860760.0,32272296.0,16878360.0,-4641187.0,0.6045701,290.3899,292.79395,0.39883512,-0.5201544,0.5783864,-0.004225023,100789.81,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2016,6,300.3523,0.004038308,22344634.0,35280372.0,19031380.0,-4235911.0,0.49371487,295.40918,296.52124,0.34786302,-0.395818,0.89107585,-0.00470889,100776.19,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2016,7,302.64014,0.0016872578,23580028.0,36706440.0,20162180.0,-4650679.0,0.5252346,295.44482,300.35547,0.30532098,0.44377005,2.1039658,-0.0041390434,100821.31,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2016,8,301.1902,0.0057366416,17950384.0,36861090.0,15465947.0,-3491200.0,0.6983469,296.74536,300.63867,0.29986393,-0.21928751,0.6115553,-0.003748202,100754.94,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2016,9,300.00806,0.00051411055,19539396.0,34518160.0,16945304.0,-5210476.0,0.34584224,292.90625,300.25122,0.28779376,-0.42026937,0.008844819,-0.0029943886,100887.0,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2016,10,294.89917,0.0007356859,15712711.0,31119802.0,13647030.0,-6041419.0,0.33062506,287.67334,297.56763,0.2679528,-0.23476994,0.9271329,-0.0018953327,101092.375,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2016,11,289.18604,0.0025673003,11764869.0,28433896.0,10241905.0,-5826592.0,0.46710795,283.1355,293.48096,0.26918846,-0.36473638,0.3917467,-0.0015823329,101235.94,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2016,12,284.219,0.003489374,6948604.0,28528012.0,6068101.0,-3309102.0,0.72273046,279.09473,287.77612,0.32898426,-0.6251989,0.14982235,-0.0014268912,101398.375,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2017,1,285.36816,0.0037237376,9487708.0,27617854.0,8311373.0,-4566722.0,0.58626807,280.29834,287.1809,0.37486178,0.6876049,0.78375363,-0.001613589,101037.06,1.7414612e-05,USA,"Bossier City, Louisiana",32.42,-93.64
2017,2,288.40503,0.0019364583,11198413.0,29322124.0,9793219.0,-4163043.0,0.5978584,282.85083,287.65137,0.3885334,-0.07340771,1.2637815,-0.0019797937,100860.69,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2017,3,290.42456,0.002217268,15703123.0,29691924.0,13634443.0,-4749748.0,0.51938576,283.81592,288.94653,0.34351587,-0.32796544,1.5478687,-0.0029069704,101238.94,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2017,4,293.8369,0.0038180728,19416488.0,31010384.0,16594201.0,-5303066.0,0.51113534,287.0166,292.0127,0.2668503,0.0035884094,1.9155245,-0.003255884,100634.875,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2017,5,295.5559,0.0036138676,21604128.0,31887006.0,18355148.0,-5383921.0,0.50598776,288.66357,293.77686,0.23368454,0.37764376,1.1730719,-0.0036822336,100559.69,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2017,6,299.6089,0.004351519,21076344.0,35080984.0,17935340.0,-4280094.0,0.6271048,293.7649,296.95337,0.22301579,-0.9271058,0.9465605,-0.0037203496,100546.31,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2017,7,301.72852,0.002561942,23102890.0,36315896.0,19734296.0,-4569429.0,0.54747605,295.65283,299.58594,0.22944897,0.40091294,1.1326694,-0.003929388,100865.69,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2017,8,300.09668,0.007991549,16338405.0,36228544.0,14080401.0,-3358977.0,0.6841265,295.66333,300.08423,0.2363801,-0.72013944,0.25774062,-0.0036589045,100678.75,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2017,9,298.02026,0.00041165994,20270600.0,32998772.0,17561640.0,-5617614.0,0.27863038,291.32446,298.22778,0.28542036,-0.7163777,0.17043889,-0.0032690517,100778.19,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2017,10,293.47656,0.00084041106,15419379.0,30345496.0,13399568.0,-6236350.0,0.30072236,285.31128,297.31055,0.25946903,-0.21548796,0.3224404,-0.0019287798,100966.69,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2017,11,288.917,0.0022817152,10159580.0,29374452.0,8845482.0,-4642628.0,0.49886614,283.87158,292.17017,0.24308759,-0.22753376,0.88070446,-0.001592681,101147.94,0.0,USA,"Bossier City, Louisiana",32.42,-93.64
2017,12,282.60938,0.0026636673,8349868.0,26893490.0,7286693.0,-4360942.0,0.66581374,276.7151,287.67603,0.22750324,-0.0029757624,-0.15301025,-0.0012366113,101447.56,2.3841858e-06,USA,"Bossier City, Louisiana",32.42,-93.64
2011,1,285.30518,5.684387e-05,15061438.0,24635836.0,12612803.0,-7504172.0,0.24120623,280.11914,288.92944,0.29922783,1.5283461,-1.1624222,-0.0015053477,98960.0,0.0,India,New Delhi,28.64,77.16
